,AAPL,GOOG,MSFT
2018-01-03,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0
2018-01-08,-0.00371425083705363,0.0,0.0
2018-01-09,-0.0038285609654018548,-0.0006143132717858217,-0.0006796279952806544
2018-01-10,-0.004057181222098303,-0.003911672324349709,-0.005210682950083383
2018-01-11,0.0,-0.0012828002484547222,-0.002265484266058919
2018-01-12,0.0,0.0,0.0
2018-01-15,0.0,0.0,0.0
2018-01-16,-0.005082127252220204,-0.00044548877521929584,-0.013950893094725237
2018-01-17,0.0,0.0,0.0
2018-01-18,0.0,-0.0019346788264651682,-0.0004437643199267686
2018-01-19,-0.004462723516028314,0.0,-0.001553132800048841
2018-01-22,-0.012607355662670041,0.0,0.0
2018-01-23,-0.012384253535266473,0.0,0.0
2018-01-24,-0.028115549707554126,-0.0048975447131473305,-0.0008705313354338188
2018-01-25,-0.04546465550724754,0.0,0.0
2018-01-26,-0.04323329374923328,0.0,0.0
2018-01-29,-0.06303686343434432,-0.00022112682544801223,-0.0014884052018099858
2018-01-30,-0.0685595986987723,-0.010333007396199327,-0.014033592697065278
2018-01-31,-0.06599354118915553,-0.005017658352566331,0.0
2018-02-01,-0.06404103581014704,-0.006922736029203449,-0.007893905727152881
2018-02-02,-0.10465243267716669,-0.05437812297843836,-0.03399645599736178
2018-02-05,-0.12702214499288925,-0.10208870118485845,-0.07378172801405855
2018-02-06,-0.09053886101129005,-0.08099743251511664,-0.03873276731326885
2018-02-07,-0.11000782006579332,-0.10822899343821732,-0.05683613729569326
2018-02-08,-0.13449738563632574,-0.14825145649777427,-0.10525207636203877
2018-02-09,-0.12746843436869115,-0.1174139321579265,-0.07188718742750327
2018-02-12,-0.09232393339350253,-0.10537147425020935,-0.06188827229349435
2018-02-13,-0.08323105336465,-0.10523541117715643,-0.054520578767574816
2018-02-14,-0.06632823694075826,-0.090267370102589,-0.04420592025263351
2018-02-15,-0.034977067978392395,-0.07341131600956916,-0.024734221884887168
2018-02-16,-0.038101093609004974,-0.06892091017566224,-0.031680897469243324
2018-02-19,-0.038101093609004974,-0.06892091017566224,-0.031680897469243324
2018-02-20,-0.041336542621827,-0.062406428250249855,-0.02410273512302262
2018-02-21,-0.0456877576346509,-0.05485437617643953,-0.03704877584797678
2018-02-22,-0.03771055848480529,-0.05886002892556894,-0.03452266819859533
