,AAPL,GOOG,MSFT
2018-01-02,,,
2018-01-03,,,
2018-01-04,,,
2018-01-05,,,
2018-01-08,,,
2018-01-09,,,
2018-01-10,,,
2018-01-11,,,
2018-01-12,,,
2018-01-15,,,
2018-01-16,,,
2018-01-17,,,
2018-01-18,,,
2018-01-19,,,
2018-01-22,,,
2018-01-23,,,
2018-01-24,,,
2018-01-25,,,
2018-01-26,,,
2018-01-29,43.70999984741211,56.33702507019043,89.67149963378907
2018-01-30,43.643874931335446,56.58375015258789,90.01099967956543
2018-01-31,43.58387489318848,56.80240020751953,90.44399986267089
2018-02-01,43.518249893188475,57.00565013885498,90.80149993896484
2018-02-02,43.33699989318848,57.02982521057129,90.98099975585937
2018-02-05,43.11374988555908,56.90197525024414,90.96699981689453
2018-02-06,42.97249984741211,56.83782520294189,91.12249984741212
2018-02-07,42.78812484741211,56.70275020599365,91.21199989318848
2018-02-08,42.53649978637695,56.44275016784668,91.05849990844726
2018-02-09,42.27799987792969,56.231550216674805,90.9875
2018-02-12,42.098250007629396,56.0557502746582,90.96399993896485
2018-02-13,41.95012493133545,55.88160018920898,91.03800010681152
2018-02-14,41.80349979400635,55.72590026855469,91.07150001525879
2018-02-15,41.72512493133545,55.6252254486084,91.1995002746582
2018-02-16,41.649749755859375,55.518450546264646,91.2995002746582
2018-02-19,41.59262466430664,55.36592559814453,91.31900024414062
2018-02-20,41.52774982452392,55.19715061187744,91.36000022888183
2018-02-21,41.488374900817874,55.06490058898926,91.3435001373291
2018-02-22,41.50574989318848,54.90555057525635,91.31350021362304
2018-02-23,41.55562496185303,54.782925605773926,91.31350021362304
2018-02-26,41.69324989318848,54.70335063934326,91.38850021362305
2018-02-27,41.83599987030029,54.58985061645508,91.46150016784668
2018-02-28,41.96962490081787,54.426825523376465,91.39949989318848
2018-03-01,42.05987491607666,54.181375694274905,91.32899971008301
2018-03-02,42.25625,54.09892559051514,91.39249992370605
2018-03-05,42.510375022888184,54.18675060272217,91.67449989318848
2018-03-06,42.68087501525879,54.222900581359866,91.77399978637695
2018-03-07,42.87450008392334,54.37555046081543,91.98649978637695
2018-03-08,43.14687519073486,54.686750411987305,92.45749969482422
2018-03-09,43.44150009155273,54.992400360107425,92.8754997253418
2018-03-12,43.679125022888186,55.27380027770996,93.25749969482422
2018-03-13,43.87450008392334,55.48897533416748,93.48649978637695
2018-03-14,44.012875175476076,55.688450241088866,93.63849983215331
2018-03-15,44.08362503051758,55.838600158691406,93.71449966430664
2018-03-16,44.153500175476076,55.94092502593994,93.8444995880127
2018-03-19,44.18937530517578,55.95347499847412,93.88899955749511
2018-03-20,44.231750297546384,55.9416000366211,93.90949935913086
2018-03-21,44.23425025939942,55.890449905395506,93.95899963378906
2018-03-22,44.18862533569336,55.746574783325194,93.86199951171875
2018-03-23,44.05662536621094,55.48352470397949,93.51799964904785
2018-03-26,43.97912540435791,55.25717468261719,93.43599967956543
2018-03-27,43.85350036621094,54.97419967651367,93.19949989318847
2018-03-28,43.708000373840335,54.72377471923828,92.98050003051758
2018-03-29,43.617750358581546,54.629449653625485,92.90149993896485
2018-03-30,43.51237525939941,54.5116247177124,92.81249961853027
2018-04-02,43.38562507629395,54.30047473907471,92.55649948120117
2018-04-03,43.282125091552736,54.09634990692139,92.3759994506836
2018-04-04,43.23937511444092,53.88509998321533,92.29949951171875
2018-04-05,43.187625122070315,53.639624977111815,92.19699935913086
2018-04-06,43.04262523651123,53.25712509155274,91.88149948120117
2018-04-09,42.89675025939941,52.884500122070314,91.58149948120118
2018-04-10,42.812750244140624,52.61817512512207,91.5049991607666
2018-04-11,42.73775024414063,52.29437522888183,91.40549926757812
2018-04-12,42.68137531280517,52.001700210571286,91.37549934387206
2018-04-13,42.64025020599365,51.73555030822754,91.29949951171875
2018-04-16,42.64675025939941,51.58095016479492,91.36349945068359
2018-04-17,42.68425025939941,51.52207508087158,91.5104995727539
2018-04-18,42.76637516021729,51.47507514953613,91.70849952697753
2018-04-19,42.81575012207031,51.5716251373291,92.02449951171874
