,MSFT
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,76.1290519468246
2018-01-22,80.23506032600987
2018-01-23,80.00001649598818
2018-01-24,77.47957556706345
2018-01-25,75.87499618530269
2018-01-26,79.97924867870594
2018-01-29,79.3209682736535
2018-01-30,73.42856270926323
2018-01-31,77.69783821661247
2018-02-01,69.84668433427385
2018-02-02,57.66525649933332
2018-02-05,48.95522891133828
2018-02-06,53.25314894873745
2018-02-07,48.773165631904234
2018-02-08,39.803849491150466
2018-02-09,43.411449364779074
2018-02-12,44.81078302907231
2018-02-13,46.3566505204386
2018-02-14,47.26421105246107
2018-02-15,47.49105118802484
2018-02-16,46.622101932098936
2018-02-19,48.64170795285577
2018-02-20,45.54301281078483
2018-02-21,44.70767510282326
2018-02-22,49.89553825773819
2018-02-23,63.47863566943835
2018-02-26,59.970732302491456
2018-02-27,61.46925061919695
2018-02-28,77.65147756795878
2018-03-01,67.18172988934853
2018-03-02,65.26479723012977
2018-03-05,64.96462792799481
2018-03-06,60.39767616642037
2018-03-07,55.576188936537086
2018-03-08,61.387061783761425
2018-03-09,67.76212300034439
2018-03-12,66.47679056413432
2018-03-13,60.87931392251784
2018-03-14,57.71468931573054
2018-03-15,50.511085044369366
2018-03-16,46.20370350747428
2018-03-19,44.198413030932464
2018-03-20,47.11711748864862
2018-03-21,48.29180251185621
2018-03-22,37.76274044506003
2018-03-23,28.943924903625316
2018-03-26,51.06382828559077
2018-03-27,41.35485991833927
2018-03-28,39.87951065220327
2018-03-29,39.318994886106374
2018-03-30,38.7479482724282
2018-04-02,38.13933065951106
2018-04-03,41.86959784147394
2018-04-04,46.66666849955472
2018-04-05,45.94594218042491
2018-04-06,45.219271170279015
2018-04-09,45.80369434431387
2018-04-10,50.67612251193414
2018-04-11,53.708350270090605
2018-04-12,61.84309018362797
2018-04-13,48.32696577418721
2018-04-16,63.27684127222233
2018-04-17,67.11067283741446
2018-04-18,64.35316370167818
2018-04-19,63.19522068474072
2018-04-20,69.40122006431548
2018-04-23,67.78059457379267
2018-04-24,52.55333555919309
2018-04-25,49.7843507512116
2018-04-26,62.57017806046793
2018-04-27,64.80939046294539
2018-04-30,51.85614613029625
2018-05-01,58.870048655675774
2018-05-02,49.79965752901207
2018-05-03,52.82372362191124
2018-05-04,52.823744153921254
2018-05-07,50.44937518084945
2018-05-08,48.117141455175016
2018-05-09,52.367373549306365
2018-05-10,58.36688099733963
2018-05-11,56.81158074210699
2018-05-14,65.99344221229165
2018-05-15,66.42621185871289
2018-05-16,60.72752729756644
2018-05-17,51.397515711907886
2018-05-18,63.197023122842374
2018-05-21,62.3573932157935
2018-05-22,71.85099888107948
2018-05-23,73.58682006973879
2018-05-24,67.51939168661019
2018-05-25,63.408473380384436
2018-05-28,66.84277043956072
2018-05-29,57.879213151741716
2018-05-30,57.69224692116022
2018-05-31,58.558549270281986
2018-06-01,66.66666666666671
2018-06-04,75.73962199756414
2018-06-05,78.63633408037737
2018-06-06,88.80684974700091
2018-06-07,73.64013697788359
2018-06-08,72.2160723538556
2018-06-11,68.58639747295362
2018-06-12,65.31789460314783
2018-06-13,64.4977438383401
2018-06-14,66.48708508927558
2018-06-15,58.37274952379359
2018-06-18,63.01370435684123
2018-06-19,59.54048306822236
2018-06-20,63.886377225095124
2018-06-21,51.805978645557325
2018-06-22,43.39625055780989
2018-06-25,32.78983078490235
2018-06-26,35.08313236365059
2018-06-27,35.29931268292768
2018-06-28,37.17948383546075
2018-06-29,39.048462409820544
2018-07-02,44.70686179185062
2018-07-03,42.95776791966572
2018-07-04,40.29486562650347
2018-07-05,48.409307988622295
2018-07-06,51.219524298064854
2018-07-09,53.81061596064899
2018-07-10,51.0204081632653
2018-07-11,53.6020765570088
2018-07-12,64.38355766696117
2018-07-13,78.47898427763599
2018-07-16,73.91307613255005
2018-07-17,85.97096125970711
